date,tc=0_tv=0.1,tc=0.001_tv=0.1,tc=0.0025_tv=0.1,tc=0.005_tv=0.1,tc=0_tv=0.15,tc=0.001_tv=0.15,tc=0.0025_tv=0.15,tc=0.005_tv=0.15,tc=0_tv=0.2,tc=0.001_tv=0.2,tc=0.0025_tv=0.2,tc=0.005_tv=0.2,tc=0_tv=0.25,tc=0.001_tv=0.25,tc=0.0025_tv=0.25,tc=0.005_tv=0.25,tc=0_tv=inf,tc=0.001_tv=inf,tc=0.0025_tv=inf,tc=0.005_tv=inf
2018-02-22,-0.019842289877351593,-0.020564250732766576,-0.021646336317492798,-0.02344753250783027,-0.028018183247510486,-0.02877453330501456,-0.029908195654375302,-0.031795334191360825,-0.02734671496124408,-0.028011965153563634,-0.029009087106260045,-0.030668949917209254,-0.022277839055258042,-0.022871641869214088,-0.02376173867440201,-0.025243614903112777,-0.014206264425208337,-0.01440773657551242,-0.014709872733421836,-0.01521324087337117
2018-02-23,-0.013279642351484933,-0.014010554083429771,-0.015106048882452039,-0.016929548223781565,-0.018256324519541067,-0.01902639450429444,-0.02018061021009443,-0.02210193367440294,-0.014321911689968325,-0.015004241610831026,-0.01602695211177463,-0.01772937982589562,-0.0059119882991939265,-0.006525998851168335,-0.007446373711896048,-0.008978624003152302,0.0,0.0,0.0,0.0
2018-02-26,-0.007834694243141982,-0.008581986189018176,-0.00970201219729061,-0.011566292747046902,-0.010130096058889704,-0.010924966275858261,-0.012116320768705058,-0.014099378287197983,-0.0034435184334049573,-0.004158047724541869,-0.005228984590572305,-0.007011596021558986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-27,-0.012375542938823814,-0.013121651931278122,-0.014239901364483831,-0.016101215252868673,-0.01692561103425494,-0.01771837226289852,-0.01890655971947386,-0.02088432939484708,-0.0125654100642415,-0.013277893304253219,-0.014345756855616232,-0.016123234825818122,-0.011317969529952787,-0.011323577414647623,-0.011331989241689988,-0.011346008953427189,-0.011317969529952787,-0.011323577414647623,-0.011331989241689988,-0.011346008953427189
2018-02-28,-0.0149506354953155,-0.015707800927521887,-0.016842600572158584,-0.018731406438780684,-0.020770454370308222,-0.021579526959278783,-0.02279212648649087,-0.024810436602321295,-0.017714605073308576,-0.01844937242484912,-0.019550596291142308,-0.021383499470722267,-0.017491869430948714,-0.017506190203821492,-0.017527671177059112,-0.017563472302930316,-0.017491869430948714,-0.017506190203821492,-0.017527671177059,-0.017563472302930427
2018-03-01,-0.021390653747228927,-0.022150294156751515,-0.02328879106715742,-0.025183718588684734,-0.030373408862602758,-0.031185618441326945,-0.032402899048768585,-0.03442894601400259,-0.03055850122687187,-0.03129847003683428,-0.03240746667770189,-0.0342532462004036,-0.03315872543639453,-0.03317877579498563,-0.033208850824110736,-0.03325897451596982,-0.03315872543639453,-0.03317877579498563,-0.033208850824110625,-0.03325897451596993
2018-03-02,-0.01954877657929166,-0.020329113865042547,-0.021498598194838348,-0.023445017286531145,-0.02763595327859547,-0.02847908954305811,-0.029742667317693927,-0.031845629012274945,-0.026909257186686797,-0.027690185196382555,-0.028860507780085976,-0.030808196768215557,-0.028923822904870833,-0.028947707425579283,-0.02898353340430715,-0.029043241229335548,-0.028923822904870944,-0.028947707425579172,-0.028983533404306927,-0.02904324122933577
2018-03-05,-0.014151313677247424,-0.014944165964941747,-0.016132392644499838,-0.018109968706996216,-0.019606539763536657,-0.020468864536817954,-0.021761176017388473,-0.02391189661654769,-0.016195371458985197,-0.017001212461608683,-0.01820884366659692,-0.02021855164908226,-0.01672079264683335,-0.01675073384388892,-0.01679564429610192,-0.016870491467574023,-0.01672079264683346,-0.016750733843889032,-0.016795644296101808,-0.016870491467574245
2018-03-06,-0.010996679206324744,-0.011811520703205347,-0.01303266917048962,-0.015064949762413127,-0.014900772467342449,-0.01579625086730252,-0.017138191446266937,-0.019371357444654236,-0.009899184149703255,-0.010749005454294469,-0.012022480641510014,-0.014141591955640798,-0.00984822800053109,-0.009885542357635724,-0.009941511722496466,-0.010034788208710732,-0.009848228000531312,-0.009885542357635835,-0.009941511722496355,-0.010034788208710954
2018-03-07,-0.009744262457712094,-0.010583349045684254,-0.011840792025151314,-0.013933368824712744,-0.01302956322213411,-0.013961422023561654,-0.01535781256737856,-0.01768140741402413,-0.007391571043630307,-0.008290021041644446,-0.009636286511980341,-0.011876308409186853,-0.007243121751345338,-0.0072906028230232955,-0.0073618208311424516,-0.007480507913476764,-0.00724312175134556,-0.0072906028230234066,-0.0073618208311423405,-0.007480507913477097
2018-03-08,-0.009138011511666155,-0.010001819438546944,-0.01129626678642981,-0.01345031088243509,-0.012123203776288727,-0.013092105806293941,-0.014543931791123121,-0.016959574654968668,-0.006190037715952279,-0.00712667686228019,-0.008530098433560562,-0.01086504088300877,-0.006041408728666764,-0.006098047290704844,-0.0061829998978955025,-0.0063245736152071075,-0.006041408728666986,-0.0060980472907049554,-0.0061829998978953915,-0.0063245736152074405
2018-03-09,-0.0005224651388366919,-0.0014032443987188614,-0.0027231068262338898,-0.004919397797360725,0.0,-0.0002345040163431733,-0.0017264331471555927,-0.004208723095884048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-12,0.0,0.0,0.0,-0.0017666900699071508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
